statement,pronoun,snippet,options,answer,reason,model,type
"The actor was rehearsing lines with his understudy when the director gave feedback that he lacked emotion and nuance in delivery, he agreed that he should portray more feeling.",he,he agreed that he should portray more feeling,"['actor', 'understudy']",0,"Since the director critiqued 'he' (the actor) for lack of emotion, the actor is more likely to agree he should act with more feeling. The understudy has no reason to critique the lead actor's performance.",Claude2,Winograd
"The firefighter ran into the burning house to rescue the baby and the puppy, but she was too scared and cried.",she,she was too scared and cried,"['baby', 'puppy']",0,"Babies are more likely to be scared and cry in a stressful situation like a fire compared to a puppy that would be more inclined to run around. The firefighter is actively rescuing them, so is unlikely to be too scared to move.",Claude2,Winograd
"The firefighter ran into the burning house to rescue the baby and the puppy, but she was too injured to walk.",she,she was too injured to walk,"['baby', 'puppy']",1,"A puppy would be more likely to be injured in a fire compared to a baby that was being rescued by the firefighter. The firefighter is actively rescuing them, so is unlikely to be too injured to walk.",Claude2,Winograd
"The firefighter and the little girl were trapped in the burning building, so she carried her outside to safety because she was too short to reach the exit.",she,she was too short to reach the exit,"['firefighter', 'little girl']",1,"Based on common knowledge, little girls tend to be much shorter than adult firefighters. So the pronoun 'she' most likely refers to the little girl in this context.",Claude2,Winograd
"The firefighter and the little girl were trapped in the burning building, so he carried her outside to safety because she was too brave.",she,she was too brave,"['firefighter', 'little girl']",0,It is more likely that the little girl would be too weak to walk compared to the adult firefighter. So 'she' refers to the firefighter in this case.,Claude2,Winograd
"The experienced farmer and his teenage son were fixing the tractor engine when it suddenly backfired, so he jumped back in fright.",he,he jumped back in fright,"['farmer', 'teenage son']",1,Teenagers are more likely to be startled by a loud noise than an experienced farmer who is used to mechanical work and engine backfires. The son's reaction indicates he is the referent of 'he jumped back in fright'.,Claude2,Winograd
"The experienced farmer and his teenage son were fixing the tractor engine when it suddenly backfired, so he quickly grabbed a fire extinguisher.",he,he quickly grabbed a fire extinguisher,"['farmer', 'teenage son']",0,The farmer is more likely to know fire safety protocols for engine work than his inexperienced teenage son. Grabbing a fire extinguisher is a wise precaution by the farmer in case of an engine fire.,Claude2,Winograd
"The old lady were stuck in the elevator during the power outage and firefighter arrived, so she gave her the emergency oxygen mask.",she,she gave her the emergency oxygen mask,"['firefighter', 'old lady']",0,"The firefighter, as a trained emergency responder, would have access to an oxygen mask and the knowledge to administer it correctly. The old lady is specified as having trouble breathing, so the firefighter likely gave her the mask.",Claude2,Winograd
"The old lady were stuck in the elevator during the power outage and firefighter arrived, she was having trouble breathing.",she,she was having trouble breathing,"['firefighter', 'old lady']",1,"The old lady is described as 'having trouble breathing,' implying respiratory distress. As firefighters undergo fitness testing, it is unlikely a firefighter would struggle to breathe in an elevator. By process of elimination, the old lady must be the one having breathing issues.",Claude2,Winograd
"The farmer and his son were fixing the tractor when suddenly it lost control and headed for them. The farmer pushed his son out of the way just in time, but instead he was injured.",he,he was injured,"['farmer', 'son']",0,"Based on the first part of the statement, we know the farmer pushed his son out of the way to save him. So it is likely the farmer took the brunt of the impact and was injured, while the son escaped unharmed thanks to his father's quick action.",Claude2,Winograd
"The farmer and his son were fixing the tractor when suddenly it lost control and headed for them. The farmer pushed his son out of the way just in time, so he was unharmed.",he,he was unharmed,"['farmer', 'son']",1,"Since the farmer pushed the son out of the way, the son avoided injury while the farmer did not. So in this case, 'he' refers to the son who was unharmed while the farmer was injured.",Claude2,Winograd
"The hiking group spotted a mother bear and her cub up ahead, so they stopped moving and waited for her to pass by because they looked aggressive.",they,they looked aggressive,"['mother bear and her cub', 'hiking group']",0,Bears with cubs are notoriously protective and can be aggressive if they feel their cubs are threatened. The hiking group would be cautious and avoid provoking an aggressive mother bear.,Claude2,Winograd
"The hiking group spotted a mother bear and her cub up ahead, so they stopped moving and waited for her to pass by because they were scared.",they,they were scared,"['mother bear and her cub', 'hiking group']",1,"In this case, 'scared' suggests the pronoun 'they' refers to the hiking group, not the bear. The hikers are likely scared of the protective mother bear and waiting for her to pass before proceeding.",Claude2,Winograd
"The manager reprimanded the new intern and the experienced employee for the mistake, but she did not seem bothered because she was too arrogant.",she,she did not seem bothered because she was too arrogant,"['new intern', 'experienced employee']",0,"It is more likely that the new intern is arrogant than the experienced employee. The experienced employee would be expected to be more humble and open to feedback, whereas a new intern may wrongly think they know more than they do.",Claude2,Winograd
"The manager reprimanded the new intern and the experienced employee for the mistake, but she did not seem bothered because she was too nervous.",she,she did not seem bothered because she was too nervous,"['new intern', 'experienced employee']",1,It is more likely the experienced employee is nervous because they have more to lose from making mistakes. The new intern has less experience so is less likely to be as anxious about errors.,Claude2,Winograd
The vegetarian and the meat eater went to a restaurant and she ordered the chicken salad.,she,she ordered the chicken salad,"['vegetarian', 'meat eater']",1,"Meat eaters will order meat dishes, whereas vegetarians avoid meat. So the 'she' who ordered the chicken salad is likely the meat eater, not the vegetarian.",Claude2,Winograd
The vegetarian and the meat eater went to a restaurant and she ordered the tofu stir-fry.,she,she ordered the tofu stir-fry,"['vegetarian', 'meat eater']",0,"Tofu is a common meat substitute for vegetarians. So the 'she' who ordered the tofu stir-fry is likely the vegetarian, not the meat eater.",Claude2,Winograd
"The firefighter raced into the burning building to rescue the baby and the elderly lady, but she perished in the intense heat before he could find her.",she,she perished in the intense heat,"['baby', 'elderly lady']",0,"elderly are more resilient to heat than the babies. Since the options refer to a baby and an elderly lady, it is more likely the elderly lady perished from the intense heat before the firefighter could rescue her.",Claude2,Winograd
"The firefighter raced into the burning building to rescue the baby and the elderly lady, but she was too heavy for him to carry out.",she,she was too heavy for him to carry out,"['baby', 'elderly lady']",1,"Babies typically weigh much less than adults. Between a baby and an elderly lady, the elderly lady is more likely to be too heavy for the firefighter to carry out of the burning building.",Claude2,Winograd
The bride was getting ready for her wedding ceremony when her maid of honor and bridesmaid arrived. She was very stressed because she couldn't fit into her wedding dress.,She,She was very stressed because she couldn't fit into her wedding dress,"['bride', 'bridesmaid']",0,"The bride is the one getting married, so the wedding dress would belong to her. It makes sense that the bride would be stressed about not fitting into her own wedding dress on her wedding day.",Claude2,Winograd
The bride was getting ready for her wedding ceremony when her maid of honor and bridesmaid arrived. She was very stressed because she couldn't fit into her bridesmaid dress.,She,She was very stressed because she couldn't fit into her bridesmaid dress,"['bride', 'bridesmaid']",1,"The bridesmaid is part of the bridal party, so the bridesmaid dress would belong to her. It is logical that the bridesmaid would be stressed about not fitting into the bridesmaid dress she is supposed to wear for the wedding.",Claude2,Winograd
The florist and the gardener were working outside when a bee stung her and she screamed in pain.,her,a bee stung her,"['florist', 'gardener']",0,"Florists typically work with cut flowers indoors, so are less likely to get stung by a bee than a gardener who works outside tending plants that attract bees.",Claude2,Winograd
The florist and the gardener were working outside when a bee stung her and she fell off the ladder.,her,a bee stung her,"['florist', 'gardener']",1,"Gardeners frequently use ladders when pruning trees or picking fruit, so a gardener is more likely to fall from a ladder after being stung than a florist.",Claude2,Winograd
"The doctor advised the pregnant woman to stop drinking alcohol because it can cause birth defects, but she refused to stop drinking because she is so addicted.",she,she refused to stop drinking because she is so addicted,"['doctor', 'pregnant woman']",1,"Based on common sense, we know pregnant women are advised to avoid alcohol, which can harm the fetus. The pregnant woman's addiction makes her refuse this medical advice. So the pronoun 'she' refers to the pregnant woman, not the doctor.",Claude2,Winograd
"The doctor advised the pregnant woman to stop drinking alcohol because it can cause birth defects, but she refused to report her drinking because she is so insensitive.",she,she refused to report her drinking she is so insensitive,"['doctor', 'pregnant woman']",0,"Here, 'insensitive' implies a lack of concern for the wellbeing of the fetus. We expect doctors to act responsibly, so an insensitive doctor irresponsibly allowing alcohol use indicates the pronoun 'she' refers to the doctor, not the pregnant woman.",Claude2,Winograd
"The soldier carried his injured comrade through the battlefield to safety while the medic tended to his wounds, but he was unable to save his friend because the injuries were too severe.",he,he was unable to save his friend,"['soldier', 'medic']",1,"Based on the context provided, 'he' most likely refers to the medic, not the soldier. As a medic, their role is to provide medical treatment, so being 'unable to save his friend' aligns with the medic's responsibilities. The soldier's role was to transport the injured comrade, not provide medical aid.",Claude2,Winograd
"The soldier carried his injured comrade through the battlefield to safety while the medic tended to his wounds, but he was too weak to reach the rendezvous point.",he,he was too weak to reach the rendezvous point,"['soldier', 'medic']",0,"Here, 'he' refers to the soldier, not the medic. The soldier's role was to carry/transport the injured comrade, which requires physical strength and endurance. Being 'too weak' to reach the rendezvous point aligns with the challenges faced by the soldier in this scenario, not the medic.",Claude2,Winograd
"The elderly patient was advised by the doctor to start exercising more, but she can't because her joints are too stiff and sore.",she,she can't because her joints are too stiff and sore,"['elderly patient', 'doctor']",0,"It is more likely that the elderly patient, rather than the doctor, would have stiff and sore joints that prevent exercising. As people age, their joints tend to lose flexibility and become painful, making exercise difficult.",Claude2,Winograd
"The elderly patient was advised by the doctor to start exercising more, but she can't because she is too busy with her practice.",she,she can't because she is too busy with her practice,"['elderly patient', 'doctor']",1,"It is more likely that the doctor is too busy with her medical practice to start exercising more, rather than the elderly patient. Doctors often have very busy schedules caring for patients, leaving little time for personal fitness.",Claude2,Winograd
"Jenny was baking cookies in the kitchen when the fire alarm suddenly went off, so she opened the oven door and saw that it was burnt.",it,it was burnt,"['cookie', 'oven']",0,"Based on common sense, cookies are the subject that can be 'burnt' when baking in an oven. Ovens themselves do not typically 'burn' in that context.",Claude2,Winograd
"Jenny was baking cookies in the kitchen when the fire alarm suddenly went off, so she opened the oven door and saw that it was too hot.",it,it was too hot,"['cookie', 'oven']",1,"In this case, the oven is the subject that can be 'too hot' when baking. Cookies would not logically be referred to as 'too hot' in this scenario.",Claude2,Winograd
"The dog ran through the park trying to catch the ball, but he couldn't grab it because it was bouncing too high.",it,it was bouncing too high,"['ball', 'dog']",0,"Based on world knowledge, we know that balls bounce high when thrown, while dogs do not. Therefore 'it' refers to the ball that was bouncing too high for the dog to catch.",Claude2,Winograd
"The dog ran through the park trying to catch the ball, but he couldn't grab it because it was too short.",it,it was too short,"['ball', 'dog']",1,"Here, 'it' refers to the dog, since dogs can vary in height but balls do not. The dog was too short to reach the high bouncing ball.",Claude2,Winograd
Jenny was playing in the backyard when she heard barking from the fence. She went over and saw that a dog had gotten stuck under the fence because it was too small.,it,it was too small,"['dog', 'fence']",1,"Based on common knowledge, if a dog gets stuck under a fence it is likely because the gap under the fence is too small for the dog to fit through. The size of the dog itself would not cause it to get stuck.",Claude2,Winograd
Jenny was playing in the backyard when she heard barking from the fence. She went over and saw that a dog had gotten stuck under the fence because it was too big.,it,it was too big,"['dog', 'fence']",0,"Based on common knowledge, if a dog gets stuck under a fence it is likely because the dog is too big to fit under the gap. The size of the fence gap itself would not cause a dog to get stuck if it was bigger.",Claude2,Winograd
"Jenny was baking cookies in the kitchen when the fire alarm went off, so she opened the window because it was too smoky.",it,it was too smoky,"['kitchen', 'fire alarm']",0,"Based on common sense, a kitchen can become smoky when baking cookies if smoke builds up, whereas a fire alarm does not itself produce smoke. So 'it' refers to the kitchen.",Claude2,Winograd
"Jenny was baking cookies in the kitchen when the fire alarm went off, so she opened the window because it was too noisy.",it,it was too noisy,"['kitchen', 'fire alarm']",1,"Based on common sense, a fire alarm makes noise when it goes off, whereas a kitchen does not inherently become noisy from baking cookies alone. So 'it' refers to the fire alarm.",Claude2,Winograd
"John was walking his dog through the park when they encountered a flock of birds, so he stopped because it was too chaotic.",it,it was too chaotic,"['park', 'flock of birds']",1,"Based on common sense, a flock of birds can cause chaos when encountered, whereas a park would not inherently become chaotic. So 'it' refers to the flock of birds.",Claude2,Winograd
"John was walking his dog through the park when they encountered a flock of birds, so he stopped because it was too peaceful.",it,it was too peaceful,"['park', 'flock of birds']",0,"Based on common sense, a park is generally a peaceful setting, whereas a flock of birds would not make somewhere too peaceful. So 'it' refers to the park.",Claude2,Winograd
"The boy went camping with his family and his dog. In the tent at night, he started growling because he heard a noise outside.",he,he started growling,"['boy', 'dog']",1,"Based on common sense, dogs naturally growl when hearing strange noises as an instinctive reaction, whereas human boys do not typically growl. So 'he' refers to the dog.",Claude2,Winograd
"The boy went camping with his family and his dog. In the tent at night, he started crying because he heard a noise outside.",he,he started crying,"['boy', 'dog']",0,"Based on common sense, a boy is more likely to cry out of fear from a strange noise, whereas dogs don't cry tears. So 'he' refers to the boy.",Claude2,Winograd
"The library was having a used book sale when the thunderstorm started, so the volunteers had to close up early because it was getting too damp.",it,it was getting too damp,"['library', 'thunderstorm']",0,"Based on common sense, a thunderstorm can make the outdoor environment damp from rainfall, whereas a library building itself does not cause outdoor dampness. So 'it' refers to the library.",Claude2,Winograd
"The library was having a used book sale when the thunderstorm started, so the volunteers had to close up early because it was getting too loud.",it,it was getting too loud,"['library', 'thunderstorm']",1,"Based on common sense, a library does not inherently make loud noise outdoors, whereas thunderstorms produce loud thunder. So 'it' refers to the thunderstorms where the used book sale was being held.",Claude2,Winograd
"The soccer team was celebrating their championship victory, so the captain brought the trophy to the party for all the players to see it.",it,for all the players to see it,"['trophy', 'victory']",0,"Based on common sense, a physical trophy is something that can be seen, whereas an abstract victory cannot be seen directly. So 'it' refers to the trophy.",Claude2,Winograd
"The soccer team was celebrating their championship victory, so the captain described the triumph to the players to remind them of it.",it,to remind them of it,"['trophy', 'victory']",1,"Based on common sense, an abstract victory is something that can be described and remembered, whereas a physical trophy does not need to be described to be reminded of. So 'it' refers to the victory.",Claude2,Winograd
The lifeguard had to rescue the boy at the pool because he was too far from the shallow end.,he,he was too far from the shallow end,"['lifeguard', 'boy']",1,"Based on common sense, a lifeguard's job is to monitor people swimming, not be in the pool themselves. So 'he' refers to the boy who was too deep and needed rescuing.",Claude2,Winograd
The lifeguard had to rescue the boy at the pool because he was too worried.,he,he was too worried,"['lifeguard', 'boy']",0,"Based on common sense, 'he' refers to the lifeguard who was too worried and rescued the boy.",Claude2,Winograd
"The boys were playing in the yard when a bee started buzzing around them, so they ran inside because it was too scary.",it,it was too scary,"['bee', 'yard']",0,"Based on common sense, a buzzing bee would likely be scary for boys playing outside, whereas a yard itself is not an entity that can induce fear. So 'it' refers to the bee.",Claude2,Winograd
"The boys were playing in the yard when a bee started buzzing around them, so they ran inside because it was too hot.",it,it was too hot,"['bee', 'yard']",1,"Based on common sense, a yard can become too hot to play in under sunny conditions, whereas a bee does not affect the temperature. So 'it' refers to the yard.",Claude2,Winograd
The aquarium had to remove the large shark from the tank because it kept eating the other fish.,it,it kept eating the other fish,"['shark', 'aquarium']",0,"Based on common sense, sharks are known to be predators that eat fish, whereas aquariums do not eat fish. So 'it' refers to the shark.",Claude2,Winograd
The aquarium had to remove the large shark from the tank because it was overcrowded with too many fish.,it,it was overcrowded with too many fish,"['shark', 'aquarium']",1,"Based on common sense, an aquarium tank can become overcrowded if too many fish are added, whereas a single shark does not cause overcrowding. So 'it' refers to the aquarium.",Claude2,Winograd
"John was playing basketball with his son at the park. He wanted to go get ice cream after the game, but he was too tired.",he,he was too tired,"['John', 'son']",0,"Based on common sense, an adult is more likely to become tired from prolonged physical activity like playing basketball, whereas a younger child would have more energy. So 'he' refers to John.",Claude2,Winograd
"John was playing basketball with his son at the park. He wanted to go get ice cream after the game, but he was too young.",he,he was too young,"['John', 'son']",1,"Based on common sense, a child would more likely be too young to play basketball well or reach the hoop, whereas an adult's height shouldn't be an issue. So 'he' refers to the son.",Claude2,Winograd
The baby was crying in her crib so the mother went into the nursery to check on her because she was too hot.,she,she was too hot,"['baby', 'mother']",0,"Based on common sense, a baby is more likely to get too hot in a crib with blankets than an adult mother. So 'she' refers to the baby.",Claude2,Winograd
The baby was crying in her crib so the mother went into the nursery to check on her because she was too worried.,she,she was too worried,"['baby', 'mother']",1,"Based on common sense, a mother is more likely to feel worried about a crying baby than the baby worrying about itself. So 'she' refers to the mother.",Claude2,Winograd
"The athlete was training for the marathon in the gym when his phone rang, so he stopped his workout because it was too distracting.",it,it was too distracting,"['gym', 'phone ringing']",1,"Based on common sense, a ringing phone can be distracting when trying to focus, whereas a gym by itself is not inherently distracting. So 'it' refers to the phone ringing.",Claude2,Winograd
"The athlete was training for the marathon in the gym when his phone rang, so he stopped his workout because it was too noisy.",it,it was too noisy,"['gym', 'phone ringing']",0,"Based on common sense, a gym with activity can be noisy, whereas a phone ringing would not make the whole gym noisy. So 'it' refers to the gym environment.",Claude2,Winograd
"The bus was driving down the bumpy road when a tire blew out, so the driver pulled over because it was too damaged.",it,it was too damaged,"['bus', 'road']",0,"Based on common sense, a bus can become damaged if its tire blows out, whereas a road does not get damaged from a bus driving on it. So 'it' refers to the bus.",Claude2,Winograd
"The bus was driving down the bumpy road when a tire blew out, so the driver pulled over because it was too hazardous.",it,it was too hazardous,"['bus', 'road']",1,"Based on common sense, a bumpy road can be hazardous for a bus to drive on, whereas a bus blowing a tire does not directly make the bus hazardous. So 'it' refers to the road.",Claude2,Winograd
"Jenny was baking cookies in the kitchen when the smoke detector went off, so she opened the window because it was too smoky.",it,it was too smoky,"['kitchen', 'smoke detector']",0,"The kitchen is where the cookies were being baked, so it is more likely that the kitchen filled with smoke rather than the smoke detector.",Claude2,Winograd
"Jenny was baking cookies in the kitchen when the smoke detector went off, so she opened the window because it was too loud.",it,it was too loud,"['kitchen', 'smoke detector']",1,"The smoke detector is what makes the loud sound when it detects smoke, so it is more likely referring to the smoke detector being too loud rather than the kitchen.",Claude2,Winograd
Jenny was baking cookies in the kitchen when suddenly the fire alarm went off because it was too smoky.,it,it was too smoky,"['kitchen', 'fire alarm']",0,"Based on common knowledge, smoke typically emanates from the location of a fire, not from a fire alarm. Since Jenny was baking cookies in the kitchen, it is more likely that the kitchen was too smoky rather than the fire alarm.",Claude2,Winograd
Jenny was baking cookies in the kitchen when suddenly the fire alarm went off because it was too sensitive.,it,it was too sensitive,"['kitchen', 'fire alarm']",1,Fire alarms are designed to detect smoke and sound an alarm when smoke reaches a certain threshold. It is more likely that the fire alarm went off because it was too sensitive to the smoke rather than the kitchen being inherently too sensitive.,Claude2,Winograd
"Ally was baking cake in the kitchen when the fire alarm went off, so she opened the door because it was too smoky.",it,it was too smoky,"['kitchen', 'cake']",0,The kitchen is the location where the smoking is occurring due to the baking. It is more likely the kitchen would be too smoky rather than the unbaked cake.,Claude2,Winograd
"Ally was baking cake in the kitchen when the fire alarm went off, so she opened the door because it was too burnt.",it,it was too burnt,"['kitchen', 'cake']",1,The cake is what is being baked and can become burnt. It is more likely the cake would be too burnt rather than the kitchen.,Claude2,Winograd
The actor was nervous about performing with his understudy because the director said he was an even better singer.,he,he was an even better singer,"['actor', 'understudy']",1,"Since understudies are meant to replace actors if needed, it is more likely the understudy is the better singer than the lead actor. Typically understudies match or exceed the talents of the main actor.",Claude2,Winograd
The actor was nervous about performing with his understudy because the director said he was an incompetent singer.,he,he was an incompetent singer,"['actor', 'understudy']",0,"It is unlikely an incompetent singer would be cast as an understudy. More plausibly, the lead actor is the incompetent singer that the director criticized, making the actor nervous about performing with his more talented understudy.",Claude2,Winograd
"The firefighter and the police officer arrived at the scene of the accident. The victim thanked them for their help, recognizing their bravery in the face of danger.",them,thanked them for their help,"['firefighter', 'police officer']",0,"Firefighters are primarily responsible for responding to fires, rescues, and medical emergencies. Their duties involve a high amount of risk, so it is more likely the victim would thank the firefighter for help and bravery rather than the police officer.",Claude2,Winograd
"The firefighter and the police officer arrived at the scene of the accident. The victim scolded them for their slow response time, frustrated by the delay.",them,scolded them for their slow response time,"['firefighter', 'police officer']",1,Police officers have a duty to respond quickly to emergencies and accidents. It is more likely the victim would scold the police officer rather than the firefighter for a slow response time.,Claude2,Winograd
"The manager was frustrated with the new intern and the seasoned employee because they kept making mistakes on the report, they are so inexperienced.",they,they are so inexperienced,"['new intern', 'seasoned employee']",0,It is more likely that the new intern is inexperienced compared to the seasoned employee who has more experience on the job. The manager would be more frustrated with mistakes from someone new than an experienced employee.,Claude2,Winograd
"The manager was frustrated with the new intern and the seasoned employee because they kept making mistakes on the report, but he knows its temporary they are so distracted.",they,they are so distracted,"['new intern', 'seasoned employee']",1,"It is more likely that the seasoned employee is distracted rather than the new intern. The intern has fewer responsibilities so is less likely to be distracted, while the seasoned employee has potentially become complacent over time leading to mistakes.",Claude2,Winograd
"The medical student and the patient arrived for the hospital tour, but he was prohibited from entering the surgical suite because he lacked proper attire.",he,he lacked proper attire,"['medical student', 'patient']",0,"Medical students would be expected to wear scrubs or other suitable attire when visiting surgical suites, while this requirement would not apply to patients who lack medical training.",Claude2,Winograd
"The medical student and the patient arrived for the hospital tour, but he was prohibited from entering the surgical suite because he lacked proper immunity.",he,he lacked proper immunity,"['medical student', 'patient']",1,"Patients visiting hospitals often have compromised immune systems, while medical students are expected to be healthy. So the patient is more likely to lack proper immunity to pathogens present in surgical settings.",Claude2,Winograd
"The firefighter arrived at the scene of the fire and carried the unconscious man outside to safety. The paramedic rushed over to help, but he was too distracted to provide medical assistance.",he,he was too distracted,"['firefighter', 'unconscious man']",0,"Based on the context, the unconscious man is more likely to be the injured one that the paramedic cannot provide medical assistance to, rather than the firefighter who carried him outside.",Claude2,Winograd
"The firefighter arrived at the scene of the fire and carried the unconscious man outside to safety. The paramedic rushed over to help, but he was too heavy to carry to the ambulance.",he,he was too heavy,"['firefighter', 'unconscious man']",1,"Common sense indicates an unconscious adult is often too heavy for a single paramedic to carry easily. The firefighter, being trained and equipped for such situations, is less likely to struggle moving the man's weight.",Claude2,Winograd
The firefighter and the police officer arrived at the scene of the accident. She immediately began helping the injured passengers out of the overturned bus.,She,She immediately began helping the injured passengers,"['firefighter', 'police officer']",0,"It is more likely that the firefighter would immediately begin helping passengers, as part of their emergency response role. Police officers typically secure the scene and investigate, while firefighters are trained in emergency medical response.",Claude2,Winograd
The firefighter and the police officer arrived at the scene of the accident. She began taking statements from witnesses about what had happened.,She,She began taking statements from witnesses,"['firefighter', 'police officer']",1,Taking statements from witnesses is a typical duty of a police officer arriving at an accident scene. Firefighters focus more on emergency response rather than investigating the cause.,Claude2,Winograd
"Jenny was babysitting her neighbor's twins, but one of them started crying because she was too scared to go on the rollercoaster.",she,she was too scared,"['Jenny', 'one of the twins']",1,"Since Jenny is babysitting the twins, it is more likely that one of the twins would be scared to go on an amusement park ride rather than Jenny who is older. Babies and young children commonly experience fear of heights and fast speeds associated with rides.",Claude2,Winograd
"Jenny was babysitting her neighbor's twins, but one of them started crying because she was too responsible to let them go on the rollercoaster.",she,she was too responsible,"['Jenny', 'one of the twins']",0,"Since Jenny is babysitting, she is likely older than the twins.  so it is likely the babysitter Jenny is responsible for the twins.",Claude2,Winograd
"Jenny was helping her grandmother bake Christmas cookies when the oven mitt caught on fire, so she quickly grabbed the fire extinguisher and put it out.",she,she quickly grabbed the fire extinguisher,"['Jenny', 'grandmother']",0,"It is more likely that Jenny, rather than her elderly grandmother, would act quickly to grab a fire extinguisher to put out a fire. Jenny, being younger, would presumably have faster reflexes to respond urgently to an emergency.",Claude2,Winograd
"Jenny was helping her grandmother bake Christmas cookies when the oven mitt caught on fire, so she quickly moved her walker away from the oven.",she,she quickly moved her walker away,"['Jenny', 'grandmother']",1,"The detail about the walker indicates that the pronoun 'she' refers to the grandmother rather than Jenny. Elderly grandmothers stereotypically require walkers for mobility assistance, so the grandmother would logically move her own walker away from the oven fire.",Claude2,Winograd
"The manager scolded the new intern and the experienced employee because the report contained many mistakes, but she did not seem bothered by the criticism at all.",she,she did not seem bothered by the criticism,"['new intern', 'experienced employee']",1,"An experienced employee is less likely to be bothered by criticism than a new intern who is still learning. The experienced employee has more confidence in her abilities based on her experience, while the intern is new and lacks the same confidence.",Claude2,Winograd
"The manager scolded the new intern and the experienced employee because the report contained many mistakes, but she was very upset by the criticism.",she,she was very upset by the criticism,"['new intern', 'experienced employee']",0,"A new intern is more likely to be very upset by criticism than an experienced employee. The intern is still learning and lacks confidence, so negative feedback will impact her more than the experienced employee.",Claude2,Winograd
"Jenny was jealous that her best friend Lucy got asked to prom by the most popular boy in their grade, so she spread a rumor that Lucy was caught cheating on a test.",she,so she spread a rumor,"['Jenny', 'Lucy']",0,"Since Jenny was described as being jealous of Lucy getting asked to prom, it is more likely that 'she' refers to Jenny spreading a rumor out of jealousy rather than Lucy spreading a rumor about herself.",Claude2,Winograd
"Jenny was jealous that her best friend Lucy got asked to prom by the most popular boy in their grade, so she was devastated when the rumor about her cheating spread.",she,so she was devastated,"['Jenny', 'Lucy']",1,"Lucy is more likely to be devastated by the rumor of her own alleged cheating spreading, rather than Jenny being devastated by a rumor she started herself out of jealousy.",Claude2,Winograd
"The bride walked down the aisle with her father and her sister followed behind as the maid of honor, but she was feeling nervous about the wedding.",she,she was feeling nervous,"['bride', 'sister']",0,"It is typical for a bride to feel nervous on her wedding day because it is a major life event. The maid of honor/sister has a lesser role, so is less likely to feel nervous.",Claude2,Winograd
"The bride walked down the aisle with her father and her sister followed behind as the maid of honor, but she was feeling nervous about the speech.",she,she was feeling nervous,"['bride', 'sister']",1,"As the maid of honor, the sister has to give a speech at the wedding. Giving speeches makes most people nervous, so she is likely nervous about the speech rather than the bride being nervous about her own wedding.",Claude2,Winograd
"The tall basketball player was walking down the street with his young son when a stray dog started growling at them, so he picked up a stick to ward it off because he was feeling very protective.",he,he picked up a stick,"['basketball player', 'young son']",0,"Based on common sense, the father is more likely to protectively pick up a stick to ward off a threatening stray dog than the young child would. As the adult, the basketball player would feel responsible for protecting his son.",Claude2,Winograd
"The tall basketball player was walking down the street with his young son when a stray dog started growling at them, so he started crying and hid behind his dad's legs because he was feeling very scared.",he,he started crying,"['basketball player', 'young son']",1,It is more likely that the young child would start crying out of fear and seek protection from his father when confronted by a threatening stray dog. The father is unlikely to be as frightened due to being bigger and stronger.,Claude2,Winograd
The rescue team searched for survivors in the collapsed building. The dog sniffed around the rubble and she found a child.,she,she found a child,"['dog', 'rescue team member']",1,"The rescue team, composed of human rescuers, is more likely to find a human child survivor than the dog would. While dogs can detect human scents, the context implies the child was visually found rather than just smelled.",Claude2,Winograd
The rescue team searched for survivors in the collapsed building. The dog sniffed around the rubble and she found a bone.,she,she found a bone,"['dog', 'rescue team member']",0,"Dogs are known for their keen sense of smell and ability to find objects by scent, like bones. It is more plausible that the dog, rather than the human rescue team, found the bone amidst the rubble by sniffing it out.",Claude2,Winograd
"The lawyer met with the client to discuss her divorce case, but the client was hesitant to proceed since she was worried it would be too stressful for her family.",she,she was worried it would be too stressful for her family,"['lawyer', 'client']",1,"The client rather than the lawyer would be concerned about a divorce causing stress for her own family. As the client is going through the divorce, it is understandable she would worry about the impact on her family members.",Claude2,Winograd
"The lawyer met with the client to discuss her divorce case, but the lawyer was hesitant to proceed since she was worried it would be too stressful for her career.",she,she was worried it would be too stressful for her career,"['lawyer', 'client']",0,"The lawyer's career rather than the client's career would potentially be impacted by taking on a stressful divorce case. Lawyers have an obligation to provide adequate representation, so a lawyer would be concerned about managing a stressful case.",Claude2,Winograd
"The gymnast and the dancer were comparing their routines before the big performance, but she was worried that her choreography was too simple.",she,she was worried that her choreography was too simple,"['gymnast', 'dancer']",1,"The dancer is more likely to be worried about having choreography that is too complex or intricate, while the gymnast's routines emphasize athleticism over complexity.",Claude2,Winograd
"The gymnast and the dancer were comparing their routines before the big performance, but she was worried that her choreography was too complex.",she,she was worried that her choreography was too complex,"['gymnast', 'dancer']",0,"The gymnast is more likely to be worried about having choreography that is too complex, as gymnastics routines tend to prioritize athletic skills over intricate dance moves.",Claude2,Winograd
"The soccer coach congratulated the striker and the goalkeeper on their victory, he was the MVP for scoring the winning goal.",he,he was the MVP for scoring the winning goal,"['goalkeeper', 'striker']",1,"In soccer, the striker is the player who scores goals and would be considered the MVP for scoring the winning goal, not the coach.",Claude2,Winograd
